seed,method,score,max_tile,moves,won,capped
42,openjev,3936,256,324,False,False
42,semif,1616,128,162,False,False
43,openjev,1580,128,163,False,False
43,semif,1064,64,130,False,False
44,openjev,3316,256,280,False,False
44,semif,1336,128,139,False,False
45,openjev,3396,256,280,False,False
45,semif,1228,128,134,False,False
46,openjev,3204,256,264,False,False
46,semif,1464,128,148,False,False
47,openjev,588,64,81,False,False
47,semif,2628,256,227,False,False
48,openjev,1848,128,186,False,False
48,semif,1356,128,141,False,False
49,openjev,6364,512,450,False,False
49,semif,2564,256,227,False,False
50,openjev,1844,128,191,False,False
50,semif,3332,256,281,False,False
51,openjev,1816,128,181,False,False
51,semif,1580,128,162,False,False
