seed,method,score,max_tile,moves,won,capped
42,openjev,4144,256,342,False,False
42,semif,1616,128,162,False,False
43,openjev,3896,256,324,False,False
43,semif,1064,64,130,False,False
44,openjev,5416,512,392,False,False
44,semif,1336,128,139,False,False
45,openjev,3188,256,262,False,False
45,semif,1228,128,134,False,False
46,openjev,3556,256,296,False,False
46,semif,1464,128,148,False,False
47,openjev,916,64,117,False,False
47,semif,2628,256,227,False,False
48,openjev,936,64,115,False,False
48,semif,1356,128,141,False,False
49,openjev,1672,128,174,False,False
49,semif,2564,256,227,False,False
50,openjev,2008,128,194,False,False
50,semif,3332,256,281,False,False
51,openjev,3668,256,300,False,False
51,semif,1580,128,162,False,False
